中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟
51.178.139.19,443,51.178.139.19,FR,Paris,中转,301 ms
64.227.168.107,443,64.227.168.107,IN,Mumbai,中转,317 ms
80.85.87.219,443,139.162.220.185,GB,London,隧道,234 ms
64.227.183.154,443,64.227.183.154,IN,Mumbai,中转,320 ms
82.196.2.39,443,82.196.2.39,NL,Frankfurt,中转,236 ms
82.196.2.197,443,82.196.2.197,NL,London,中转,243 ms
66.90.91.51,443,66.90.91.51,RU,Moscow,中转,343 ms
82.196.10.46,443,82.196.10.46,NL,Frankfurt,中转,252 ms
51.38.13.55,443,51.38.13.55,GB,Paris,中转,300 ms
74.207.251.161,443,173.255.219.34,US,San Jose,隧道,278 ms
68.183.94.7,443,68.183.94.7,IN,Mumbai,中转,344 ms
68.183.93.191,443,68.183.93.191,IN,Mumbai,中转,334 ms
5.196.68.133,443,5.196.68.133,FR,London,中转,333 ms
54.37.235.201,443,54.37.235.201,FR,Warsaw,中转,330 ms
54.37.234.80,443,54.37.234.80,FR,Warsaw,中转,311 ms
68.183.229.35,443,68.183.229.35,SG,Singapore,中转,239 ms
8.135.103.42,443,8.135.103.42,CN,San Jose,中转,34 ms
68.183.238.244,443,68.183.238.244,SG,Singapore,中转,246 ms
